Symbol,Name,LastSale,MarketCap,IPOyear,Sector,industry,Summary Quote,Unnamed: 8
PIH,"1347 Property Insurance Holdings, Inc.",6.75,$40.4M,2014.0,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pih,
PIHPP,"1347 Property Insurance Holdings, Inc.",25.5,,,Finance,Property-Casualty Insurers,https://www.nasdaq.com/symbol/pihpp,
TURN,180 Degree Capital Corp.,2.04,$63.49M,,Finance,Finance/Investors Services,https://www.nasdaq.com/symbol/turn,
FLWS,"1-800 FLOWERS.COM, Inc.",12.15,$784.12M,1999.0,Consumer Services,Other Specialty Stores,https://www.nasdaq.com/symbol/flws,
FCCY,1st Constitution Bancorp (NJ),21.85,$182.81M,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/fccy,
SRCE,1st Source Corporation,52.28,$1.36B,,Finance,Major Banks,https://www.nasdaq.com/symbol/srce,
VNET,"21Vianet Group, Inc.",5.1,$570.59M,2011.0,Technology,"Computer Software: Programming, Data Processing",https://www.nasdaq.com/symbol/vnet,
TWOU,"2U, Inc.",87.45,$4.61B,2014.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/twou,
JOBS,"51job, Inc.",93.76,$5.8B,2004.0,Technology,Diversified Commercial Services,https://www.nasdaq.com/symbol/jobs,
CAFD,8point3 Energy Partners LP,12.03,$951.49M,2015.0,Public Utilities,Electric Utilities: Central,https://www.nasdaq.com/symbol/cafd,
EGHT,8x8 Inc,21.2,$1.95B,,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/eght,
AVHI,"A V Homes, Inc.",18.0,$402.27M,,Capital Goods,Homebuilding,https://www.nasdaq.com/symbol/avhi,
SHLM,"A. Schulman, Inc.",42.75,$1.26B,1972.0,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/shlm,
AAON,"AAON, Inc.",29.65,$1.55B,,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/aaon,
ABAX,"ABAXIS, Inc.",68.99,$1.57B,1992.0,Capital Goods,Industrial Machinery/Components,https://www.nasdaq.com/symbol/abax,
ABEO,Abeona Therapeutics Inc.,18.4,$868.98M,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeo,
ABEOW,Abeona Therapeutics Inc.,13.3,,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/abeow,
ABIL,Ability Inc.,2.82,$7.26M,2014.0,Consumer Durables,Telecommunications Equipment,https://www.nasdaq.com/symbol/abil,
ABMD,"ABIOMED, Inc.",349.28,$15.47B,,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/abmd,
ABLX,Ablynx NV,53.83,$4.06B,2017.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/ablx,
AXAS,Abraxas Petroleum Corporation,2.71,$449.59M,,Energy,Oil & Gas Production,https://www.nasdaq.com/symbol/axas,
ACIU,AC Immune SA,9.92,$569.04M,2016.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/aciu,
ACIA,"Acacia Communications, Inc.",29.3,$1.17B,2016.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/acia,
ACTG,Acacia Research Corporation,3.7,$187.36M,,Miscellaneous,Multi-Sector Companies,https://www.nasdaq.com/symbol/actg,
ACHC,"Acadia Healthcare Company, Inc.",39.75,$3.51B,,Health Care,Medical Specialities,https://www.nasdaq.com/symbol/achc,
ACAD,ACADIA Pharmaceuticals Inc.,17.8,$2.22B,1985.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acad,
ACST,"Acasti Pharma, Inc.",0.7302,$18.72M,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acst,
AXDX,"Accelerate Diagnostics, Inc.",22.0,$1.23B,,Capital Goods,Biotechnology: Laboratory Analytical Instruments,https://www.nasdaq.com/symbol/axdx,
XLRN,Acceleron Pharma Inc.,36.01,$1.65B,2013.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/xlrn,
ANCX,Access National Corporation,27.43,$567.71M,,Finance,Savings Institutions,https://www.nasdaq.com/symbol/ancx,
ARAY,Accuray Incorporated,4.6,$392.35M,2007.0,Health Care,Medical/Dental Instruments,https://www.nasdaq.com/symbol/aray,
ACRX,"AcelRx Pharmaceuticals, Inc.",2.5,$127.59M,2011.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrx,
ACER,Acer Therapeutics Inc.,18.65,$139.83M,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acer,
ACET,Aceto Corporation,2.61,$80.29M,,Health Care,Other Pharmaceuticals,https://www.nasdaq.com/symbol/acet,
AKAO,"Achaogen, Inc.",11.71,$524.51M,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/akao,
ACHV,"Achieve Life Sciences, Inc. ",1.32,$16.83M,,Health Care,Biotechnology: In Vitro & In Vivo Diagnostic Substances,https://www.nasdaq.com/symbol/achv,
ACHN,"Achillion Pharmaceuticals, Inc.",3.69,$510.47M,2006.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/achn,
ACIW,"ACI Worldwide, Inc.",23.23,$2.7B,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/aciw,
ACRS,"Aclaris Therapeutics, Inc.",18.0,$556.31M,2015.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/acrs,
ACMR,"ACM Research, Inc.",10.81,$166.5M,2017.0,Technology,Industrial Machinery/Components,https://www.nasdaq.com/symbol/acmr,
ACNB,ACNB Corporation,30.95,$217.72M,,Finance,Major Banks,https://www.nasdaq.com/symbol/acnb,
ACOR,"Acorda Therapeutics, Inc.",23.5,$1.11B,2006.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/acor,
SQZZ,Active Alts Contrarian ETF,25.405,$635175.81,,,,https://www.nasdaq.com/symbol/sqzz,
ATVI,"Activision Blizzard, Inc",69.84,$53.16B,,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/atvi,
ACXM,Acxiom Corporation,26.24,$2.05B,,Technology,EDP Services,https://www.nasdaq.com/symbol/acxm,
ADMS,"Adamas Pharmaceuticals, Inc.",29.53,$796.08M,2014.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adms,
ADMP,Adamis Pharmaceuticals Corporation,3.75,$125.21M,,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/admp,
ADAP,Adaptimmune Therapeutics plc,12.98,$1.22B,2015.0,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adap,
ADUS,Addus HomeCare Corporation,51.8,$602.48M,2009.0,Health Care,Medical/Nursing Services,https://www.nasdaq.com/symbol/adus,
AEY,"ADDvantage Technologies Group, Inc.",1.28,$13.09M,,Consumer Services,Office Equipment/Supplies/Services,https://www.nasdaq.com/symbol/aey,
IOTS,Adesto Technologies Corporation,8.4,$179.71M,2015.0,Technology,Semiconductors,https://www.nasdaq.com/symbol/iots,
ADMA,ADMA Biologics Inc,4.93,$223.41M,,Health Care,Biotechnology: Biological Products (No Diagnostic Substances),https://www.nasdaq.com/symbol/adma,
ADBE,Adobe Systems Incorporated,228.51,$112.53B,1986.0,Technology,Computer Software: Prepackaged Software,https://www.nasdaq.com/symbol/adbe,
ADOM,"ADOMANI, Inc.",0.55,$39.46M,2017.0,Capital Goods,Auto Parts:O.E.M.,https://www.nasdaq.com/symbol/adom,
ADTN,"ADTRAN, Inc.",14.85,$711.38M,1994.0,Public Utilities,Telecommunications Equipment,https://www.nasdaq.com/symbol/adtn,
ADRO,"Aduro Biotech, Inc.",7.7,$604.59M,2015.0,Health Care,Major Pharmaceuticals,https://www.nasdaq.com/symbol/adro,
ADES,"Advanced Emissions Solutions, Inc.",10.97,$225.69M,,Basic Industries,Major Chemicals,https://www.nasdaq.com/symbol/ades,
